title,year,runtime_min,genre,imdb_rating,director,votes,Gross,title_norm,year_norm,review_count,avg_review_rating,avg_review_len,fear_review_ratio,avg_fear_count,avg_fear_density,pos_ratio,neu_ratio,neg_ratio,runtime,log_votes
The Blue Elephant,2014,170,"Drama, Horror, Mystery",8.0,Marwan Hamed,29151,,the blue elephant,2014.0,1.0,5.0,339.0,0.0,0.0,0.0,0.0,1.0,0.0,0,10.280278800059685
Shaun of the Dead,2004,99,"Comedy, Horror",7.9,Edgar Wright,572237,$13.54M,shaun of the dead,2004.0,3.0,7.666666666666667,935.6666666666666,0.6666666666666666,2.6666666666666665,0.012140521101094578,1.0,0.0,0.0,0,13.257310267739111
Nosferatu,1922,94,"Fantasy, Horror",7.9,F.W. Murnau,100942,,nosferatu,1922.0,2.0,7.0,873.5,1.0,3.0,0.0265984015984016,1.0,0.0,0.0,0,11.52231128007872
Let the Right One In,2008,114,"Drama, Fantasy, Horror",7.9,Tomas Alfredson,221604,$2.12M,let the right one in,2008.0,2.0,7.0,1146.0,0.5,2.0,0.004807692307692308,0.5,0.0,0.0,0,12.308651796777616
King Kong,1933,100,"Adventure, Horror, Sci-Fi",7.9,Merian C. Cooper,88019,$10.00M,king kong,1933.0,3.0,9.333333333333334,866.0,0.6666666666666666,0.6666666666666666,0.004272474016929176,1.0,0.0,0.0,0,11.385319340365083
Get Out I,2017,104,"Horror, Mystery, Thriller",7.8,Jordan Peele,642604,$176.04M,get out i,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13.373285506523757
Predator,1987,107,"Action, Adventure, Horror",7.8,John McTiernan,435400,$59.74M,predator,1987.0,5.0,8.4,1079.8,0.8,4.6,0.026999737053033483,0.8,0.2,0.0,0,12.984022724518578
I Saw the Devil,2010,144,"Action, Crime, Horror",7.8,Jee-woon Kim,137559,$0.13M,i saw the devil,2010.0,1.0,0.0,1556.0,1.0,12.0,0.041811846689895474,0.0,0.0,0.0,0,11.831815464546203
Dawn of the Dead,1978,127,"Horror, Thriller",7.8,George A. Romero,124374,$5.10M,dawn of the dead,1978.0,4.0,6.5,1114.0,0.75,4.25,0.022270231669208652,0.75,0.0,0.25,0,11.731056474460894
Night of the Living Dead,1968,96,"Horror, Thriller",7.8,George A. Romero,133452,$0.09M,night of the living dead,1968.0,3.0,5.333333333333333,1841.6666666666667,1.0,9.333333333333334,0.026193442718844138,0.0,1.0,0.0,0,11.801504634909703
Freaks,1932,64,"Drama, Horror",7.8,Tod Browning,48381,$0.63M,freaks,1932.0,2.0,8.0,2473.5,0.5,1.5,0.006382978723404255,1.0,0.0,0.0,0,10.786883122706014
Frankenstein,1931,70,"Drama, Horror, Sci-Fi",7.8,James Whale,75779,,frankenstein,1931.0,6.0,7.333333333333333,1219.3333333333333,1.0,5.0,0.026863099088174983,0.8333333333333334,0.16666666666666666,0.0,0,11.235589684572592
The Innocents,1961,100,Horror,7.8,Jack Clayton,31689,$2.62M,the innocents,1961.0,2.0,7.75,1940.0,1.0,3.5,0.00913546576547199,0.5,0.5,0.0,0,10.363756452684967
The Bride of Frankenstein,1935,75,"Drama, Horror, Sci-Fi",7.8,James Whale,50611,$4.36M,the bride of frankenstein,1935.0,2.0,7.0,1465.5,1.0,5.5,0.02668737060041408,1.0,0.0,0.0,0,10.831943981309154
Evil Dead II,1987,84,"Comedy, Horror",7.7,Sam Raimi,173914,$5.92M,evil dead ii,1987.0,5.0,6.6,1370.6,1.0,5.2,0.020293827494769733,0.6,0.2,0.2,0,12.066321953091734
Halloween,1978,91,"Horror, Thriller",7.7,John Carpenter,289224,$47.00M,halloween,1978.0,6.0,6.8,2284.8333333333335,1.0,5.833333333333333,0.01617848956662916,0.3333333333333333,0.5,0.0,0,12.574960210897089
Invasion of the Body Snatchers,1956,80,"Drama, Horror, Sci-Fi",7.7,Don Siegel,52292,,invasion of the body snatchers,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.864617797882975
American Psycho,2000,102,"Crime, Drama, Horror",7.6,Mary Harron,658696,$15.07M,american psycho,2000.0,4.0,7.333333333333333,491.5,0.5,0.75,0.006704318426310127,0.5,0.25,0.0,0,13.39801892019303
Saw,2004,103,"Horror, Mystery, Thriller",7.6,James Wan,436144,$56.00M,saw,2004.0,2.0,8.0,1391.0,1.0,3.5,0.013377037562012757,1.0,0.0,0.0,0,12.985730035849762
Train to Busan,2016,118,"Action, Horror, Thriller",7.6,Sang-ho Yeon,235577,$2.13M,train to busan,2016.0,4.0,8.5,3232.25,1.0,9.25,0.018365335313463627,1.0,0.0,0.0,0,12.369797347791705
The Fly,1986,96,"Drama, Horror, Sci-Fi",7.6,David Cronenberg,191571,$40.46M,the fly,1986.0,5.0,8.6,889.0,1.0,1.8,0.017033285633895768,0.8,0.2,0.0,0,12.163018996052674
Zombieland,2009,88,"Action, Comedy, Horror",7.6,Ruben Fleischer,596433,$75.59M,zombieland,2009.0,4.0,7.0,1669.25,0.75,5.5,0.019156350675071224,0.75,0.25,0.0,0,13.298723868966766
The Birds,1963,119,"Drama, Horror, Mystery",7.6,Alfred Hitchcock,196469,$11.40M,the birds,1963.0,3.0,7.0,1365.3333333333333,1.0,5.333333333333333,0.030298657726964846,0.3333333333333333,0.3333333333333333,0.0,0,12.18826502688021
The Skin I Live In,2011,120,"Drama, Horror, Mystery",7.6,Pedro Almodóvar,158708,$3.19M,the skin i live in,2011.0,2.0,7.0,2268.0,1.0,1.5,0.004218880534670008,0.5,0.5,0.0,0,11.974827615681553
The Others,2001,104,"Horror, Mystery, Thriller",7.6,Alejandro Amenábar,377287,$96.52M,the others,2001.0,2.0,7.0,1495.0,1.0,2.5,0.01104801239029427,1.0,0.0,0.0,0,12.84076410051685
What We Do in the Shadows,2014,86,"Comedy, Horror",7.6,Jemaine Clement,190548,$3.33M,what we do in the shadows,2014.0,3.0,8.0,761.3333333333334,1.0,6.666666666666667,0.05317334133293335,0.6666666666666666,0.3333333333333333,0.0,0,12.157664658321822
Eyes Without a Face,1960,90,"Drama, Horror",7.6,Georges Franju,33321,$0.05M,eyes without a face,1960.0,2.0,8.5,1891.5,1.0,6.0,0.018491933278643697,1.0,0.0,0.0,0,10.413973118489015
Vampire Hunter D: Bloodlust,2000,103,"Animation, Action, Drama",7.6,Jack Fletcher,33553,$0.15M,vampire hunter d: bloodlust,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.420911360330345
Repulsion,1965,105,"Drama, Horror, Thriller",7.6,Roman Polanski,55043,,repulsion,1965.0,1.0,8.0,524.0,1.0,5.0,0.060240963855421686,1.0,0.0,0.0,0,10.915888144385173
One Cut of the Dead,2017,96,"Comedy, Drama, Horror",7.6,Shin'ichirô Ueda,27004,,one cut of the dead,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.203777313026992
The Invisible Man,1933,71,"Horror, Sci-Fi",7.6,James Whale,37549,,the invisible man,1933.0,3.0,7.333333333333333,1751.6666666666667,0.6666666666666666,2.0,0.0050296604821406035,0.6666666666666666,0.3333333333333333,0.0,0,10.53342865719228
Peeping Tom,1960,101,"Drama, Horror, Thriller",7.6,Michael Powell,37256,$0.08M,peeping tom,1960.0,2.0,8.5,2042.0,1.0,5.5,0.016148878691436608,1.0,0.0,0.0,0,10.525595125616142
The Conjuring,2013,112,"Horror, Mystery, Thriller",7.5,James Wan,526164,$137.40M,the conjuring,2013.0,6.0,7.333333333333333,1364.5,1.0,9.166666666666666,0.03460548252428944,0.8333333333333334,0.16666666666666666,0.0,0,13.173370130742914
A Quiet Place,2018,90,"Drama, Horror, Sci-Fi",7.5,John Krasinski,551233,$188.02M,a quiet place,2018.0,10.0,6.6,1803.2,0.9,7.6,0.025274848805639273,0.6,0.2,0.2,0,13.21991468037865
28 Days Later,2002,113,"Drama, Horror, Sci-Fi",7.5,Danny Boyle,425705,$45.06M,28 days later,2002.0,8.0,7.875,1201.375,0.875,4.125,0.01833365021863188,1.0,0.0,0.0,0,12.961504246149618
Interview with the Vampire: The Vampire Chronicles,1994,123,"Drama, Fantasy, Horror",7.5,Neil Jordan,333084,$105.26M,interview with the vampire: the vampire chronicles,1994.0,1.0,7.0,1437.0,1.0,4.0,0.016194331983805668,1.0,0.0,0.0,0,12.716152991645757
The Crow,1994,102,"Action, Crime, Drama",7.5,Alex Proyas,190666,$50.69M,the crow,1994.0,5.0,8.7,1512.8,1.0,3.2,0.012450948341978288,1.0,0.0,0.0,0,12.158283729944046
An American Werewolf in London,1981,97,"Comedy, Horror",7.5,John Landis,113179,$30.57M,an american werewolf in london,1981.0,4.0,8.5,768.25,1.0,3.25,0.028717446671972423,1.0,0.0,0.0,0,11.636734750696515
Tucker and Dale vs Evil,2010,89,"Comedy, Horror",7.5,Eli Craig,186643,$0.22M,tucker and dale vs evil,2010.0,3.0,8.5,2274.0,1.0,9.666666666666666,0.029562604920846104,0.6666666666666666,0.0,0.0,0,12.136958338098747
The Wicker Man,1973,88,"Horror, Mystery, Thriller",7.5,Robin Hardy,85380,$0.06M,the wicker man,1973.0,3.0,8.666666666666666,1971.6666666666667,1.0,7.666666666666667,0.02201998724715677,0.6666666666666666,0.3333333333333333,0.0,0,11.354878872588175
The Omen,1976,111,"Horror, Mystery",7.5,Richard Donner,124612,$4.27M,the omen,1976.0,3.0,8.0,794.0,0.6666666666666666,0.6666666666666666,0.003776803118908382,1.0,0.0,0.0,0,11.732968213761469
Grindhouse,2007,191,"Action, Horror, Thriller",7.5,Robert Rodriguez,187623,$25.04M,grindhouse,2007.0,2.0,5.5,2737.5,1.0,12.0,0.027139402859545837,0.0,1.0,0.0,0,12.142195239141413
Braindead,1992,104,"Comedy, Fantasy, Horror",7.5,Peter Jackson,100216,$0.24M,braindead,1992.0,3.0,6.0,600.3333333333334,0.6666666666666666,2.0,0.021488920771560657,0.6666666666666666,0.0,0.3333333333333333,0,11.515093113920798
Godzilla,1954,96,"Horror, Sci-Fi",7.5,Ishirô Honda,35705,$2.42M,godzilla,1954.0,1.0,8.0,1672.0,1.0,4.0,0.013651877133105802,1.0,0.0,0.0,0,10.483074020872907
Deep Red,1975,127,"Horror, Mystery, Thriller",7.5,Dario Argento,40206,,deep red,1975.0,3.0,8.166666666666666,754.6666666666666,1.0,2.3333333333333335,0.021886426949718086,1.0,0.0,0.0,0,10.60179638880159
Stree,2018,128,"Comedy, Horror",7.5,Amar Kaushik,36079,,stree,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.49349397417656
The Evil Dead,1981,85,Horror,7.4,Sam Raimi,222282,$2.40M,the evil dead,1981.0,5.0,6.0,1528.8,1.0,7.2,0.025261062919813716,0.4,0.4,0.2,0,12.311706623793693
Scream,1996,111,"Horror, Mystery",7.4,Wes Craven,365136,$103.05M,scream,1996.0,2.0,9.0,1546.0,1.0,7.5,0.034294512877939526,1.0,0.0,0.0,0,12.80802790460702
Bram Stoker's Dracula,1992,128,"Drama, Fantasy, Horror",7.4,Francis Ford Coppola,226027,$82.52M,bram stoker's dracula,1992.0,5.0,6.75,1204.4,0.6,2.0,0.008363535897725703,0.6,0.0,0.2,0,12.32841416438553
Army of Darkness,1992,81,"Comedy, Horror",7.4,Sam Raimi,186854,$11.50M,army of darkness,1992.0,5.0,6.6,1291.8,0.8,3.0,0.011121203494850237,0.8,0.0,0.2,0,12.138088193988303
The Rocky Horror Picture Show,1975,100,"Comedy, Horror, Musical",7.4,Jim Sharman,158254,$139.88M,the rocky horror picture show,1975.0,4.0,7.0,1528.0,0.5,0.5,0.0018471963164202235,0.5,0.25,0.0,0,11.971962935083912
A Nightmare on Elm Street,1984,91,Horror,7.4,Wes Craven,248750,$25.50M,a nightmare on elm street,1984.0,4.0,8.5,666.5,1.0,4.5,0.06148373027633128,1.0,0.0,0.0,0,12.42420767511326
The Texas Chain Saw Massacre,1974,83,Horror,7.4,Tobe Hooper,170855,$30.86M,the texas chain saw massacre,1974.0,3.0,7.333333333333333,1417.6666666666667,1.0,6.0,0.03179433458107463,0.3333333333333333,0.6666666666666666,0.0,0,12.04857637545182
Carrie,1976,98,"Horror, Mystery",7.4,Brian De Palma,195170,$33.80M,carrie,1976.0,4.0,7.666666666666667,1152.5,1.0,4.5,0.025588343533441825,0.75,0.0,0.0,0,12.181631376350401
The Wailing,2016,156,"Drama, Horror, Mystery",7.4,Na Hong-jin,73981,,the wailing,2016.0,4.0,7.5,2196.25,1.0,8.75,0.023034125166802248,0.75,0.25,0.0,0,11.211577099354628
Jacob's Ladder I,1990,113,"Drama, Horror, Mystery",7.4,Adrian Lyne,113045,$26.12M,jacob's ladder i,1990.0,1.0,10.0,781.0,0.0,0.0,0.0,1.0,0.0,0.0,0,11.635550094506055
Invasion of the Body Snatchers,1978,115,"Horror, Sci-Fi",7.4,Philip Kaufman,64115,$24.95M,invasion of the body snatchers,1978.0,2.0,7.0,1276.0,1.0,4.0,0.020150042265426882,1.0,0.0,0.0,0,11.068449221745771
REC,2007,78,"Horror, Mystery, Thriller",7.4,Jaume Balagueró,187741,,rec,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.142823958865026
The Orphanage,2007,105,"Drama, Horror, Mystery",7.4,J.A. Bayona,159601,$7.16M,the orphanage,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11.98043849524765
Nosferatu the Vampyre,1979,107,"Drama, Horror",7.4,Werner Herzog,38215,,nosferatu the vampyre,1979.0,1.0,7.0,1636.0,1.0,2.0,0.006872852233676976,1.0,0.0,0.0,0,10.551009555069799
Dracula,1931,75,"Drama, Fantasy, Horror",7.4,Tod Browning,55288,,dracula,1931.0,5.0,8.0,897.0,0.8,2.4,0.013785786708835906,0.8,0.2,0.0,0,10.92032925271517
The Devil's Backbone,2001,106,"Drama, Horror, Thriller",7.4,Guillermo del Toro,68728,$0.75M,the devil's backbone,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11.137926514322622
The Haunting,1963,112,Horror,7.4,Robert Wise,40711,$2.62M,the haunting,1963.0,4.0,9.0,2560.25,1.0,10.25,0.021246982537236773,1.0,0.0,0.0,0,10.614278168268669
Thesis,1996,125,"Crime, Horror, Mystery",7.4,Alejandro Amenábar,40595,,thesis,1996.0,1.0,8.0,2418.0,1.0,2.0,0.00468384074941452,1.0,0.0,0.0,0,10.61142481856871
Bhool Bhulaiyaa,2007,159,"Comedy, Horror, Mystery",7.4,Priyadarshan,30282,$1.07M,bhool bhulaiyaa,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.318341777940978
