title,year,runtime_min,genre,imdb_rating,director,votes,Gross
The Orphanage,2007,105,"Drama, Horror, Mystery",7.4,J.A. Bayona,159601,$7.16M
Nosferatu the Vampyre,1979,107,"Drama, Horror",7.4,Werner Herzog,38215,
Dracula,1931,75,"Drama, Fantasy, Horror",7.4,Tod Browning,55288,
The Devil's Backbone,2001,106,"Drama, Horror, Thriller",7.4,Guillermo del Toro,68728,$0.75M
The Haunting,1963,112,Horror,7.4,Robert Wise,40711,$2.62M
Thesis,1996,125,"Crime, Horror, Mystery",7.4,Alejandro Amenábar,40595,
Bhool Bhulaiyaa,2007,159,"Comedy, Horror, Mystery",7.4,Priyadarshan,30282,$1.07M
Hereditary,2018,127,"Drama, Horror, Mystery",7.3,Ari Aster,343335,$44.07M
It I,2017,135,Horror,7.3,Andy Muschietti,571035,$327.48M
Split IX,2016,117,"Horror, Thriller",7.3,M. Night Shyamalan,519308,$138.29M
Doctor Sleep,2019,152,"Drama, Fantasy, Horror",7.3,Mike Flanagan,202482,$31.58M
Dawn of the Dead,2004,101,"Action, Horror",7.3,Zack Snyder,263099,$59.02M
Possession,1981,124,"Drama, Horror",7.3,Andrzej Zulawski,36874,$1.11M
Poltergeist,1982,114,"Horror, Thriller",7.3,Tobe Hooper,170924,$76.61M
Sweeney Todd: The Demon Barber of Fleet Street,2007,116,"Drama, Horror, Musical",7.3,Tim Burton,376557,$52.90M
Gremlins,1984,106,"Comedy, Fantasy, Horror",7.3,Joe Dante,234614,$148.17M
The Conjuring 2,2016,134,"Horror, Mystery, Thriller",7.3,James Wan,282543,$102.47M
Sleepy Hollow,1999,105,"Fantasy, Horror, Mystery",7.3,Tim Burton,370303,$101.07M
Take Shelter,2011,120,"Drama, Horror, Sci-Fi",7.3,Jeff Nichols,103846,$1.73M
Eraserhead,1977,89,"Fantasy, Horror",7.3,David Lynch,121484,$7.00M
Suspiria,1977,92,Horror,7.3,Dario Argento,98751,
The Return of the Living Dead,1985,91,"Comedy, Horror, Sci-Fi",7.3,Dan O'Bannon,64592,$14.24M
Twin Peaks: Fire Walk with Me,1992,134,"Drama, Horror, Mystery",7.3,David Lynch,100656,$4.16M
House,1977,88,"Comedy, Horror",7.3,Nobuhiko Ôbayashi,30498,
Pi,1998,84,"Drama, Horror, Mystery",7.3,Darren Aronofsky,182946,$3.22M
The Hidden Face,2011,97,"Drama, Horror, Mystery",7.3,Andrés Baiz,44415,
Bacurau,2019,131,"Action, Adventure, Drama",7.3,Juliano Dornelles,29082,
The Menu,2022,107,"Comedy, Horror, Thriller",7.2,Mark Mylod,323131,
From Dusk Till Dawn,1996,108,"Action, Crime, Horror",7.2,Robert Rodriguez,326069,$25.75M
The Lost Boys,1987,97,"Comedy, Horror",7.2,Joel Schumacher,150478,$32.22M
A Quiet Place Part II,2020,97,"Drama, Horror, Sci-Fi",7.2,John Krasinski,248967,$160.07M
The Descent,2005,99,"Adventure, Horror, Thriller",7.2,Neil Marshall,233687,$26.02M
They Live,1988,94,"Action, Horror, Sci-Fi",7.2,John Carpenter,136510,$13.01M
I Am Legend,2007,101,"Action, Drama, Horror",7.2,Francis Lawrence,781259,$256.39M
10 Cloverfield Lane,2016,103,"Drama, Horror, Mystery",7.2,Dan Trachtenberg,340537,$72.08M
Dead Ringers,1988,116,"Drama, Horror, Thriller",7.2,David Cronenberg,50992,$9.13M
Angel Heart,1987,113,"Horror, Mystery, Thriller",7.2,Alan Parker,91791,$17.19M
An American Crime,2007,98,"Biography, Crime, Drama",7.2,Tommy O'Haver,35826,
Videodrome,1983,87,"Horror, Sci-Fi, Thriller",7.2,David Cronenberg,97693,$2.12M
Re-Animator,1985,84,"Comedy, Horror, Sci-Fi",7.2,Stuart Gordon,68040,$2.02M
Only Lovers Left Alive,2013,123,"Comedy, Drama, Fantasy",7.2,Jim Jarmusch,104159,$1.88M
The Changeling,1980,107,"Horror, Mystery",7.2,Peter Medak,37163,
Ringu,1998,96,"Horror, Mystery",7.2,Hideo Nakata,73508,
The Dead Zone,1983,103,"Drama, Horror, Sci-Fi",7.2,David Cronenberg,73727,$20.77M
Sleep Tight,2011,102,"Crime, Drama, Horror",7.2,Jaume Balagueró,44718,
Horror of Dracula,1958,82,"Drama, Horror",7.2,Terence Fisher,26472,
The Wolf Man,1941,70,"Horror, Mystery, Romance",7.2,George Waggner,28724,
Midsommar,2019,148,"Drama, Horror, Mystery",7.1,Ari Aster,354167,$27.33M
The Ring,2002,115,"Horror, Mystery",7.1,Gore Verbinski,360824,$129.13M
Prey I,2022,100,"Action, Adventure, Drama",7.1,Dan Trachtenberg,207940,
The Mist,2007,126,"Horror, Sci-Fi, Thriller",7.1,Frank Darabont,323435,$25.59M
Don't Breathe,2016,88,"Crime, Horror, Thriller",7.1,Fede Alvarez,286498,$89.22M
Little Shop of Horrors,1986,94,"Comedy, Horror, Musical",7.1,Frank Oz,80770,$38.75M
Blade,1998,120,"Action, Horror, Sci-Fi",7.1,Stephen Norrington,285069,$70.09M
Bone Tomahawk,2015,132,"Drama, Horror, Western",7.1,S. Craig Zahler,107954,
The Invisible Man I,2020,124,"Drama, Horror, Mystery",7.1,Leigh Whannell,238588,$70.41M
Tremors,1990,96,"Comedy, Horror",7.1,Ron Underwood,143452,$16.67M
Planet Terror,2007,105,"Action, Comedy, Horror",7.1,Robert Rodriguez,217087,
The Call,2020,112,"Crime, Horror, Mystery",7.1,Chung-Hyun Lee,37886,
Don't Look Now,1973,110,"Drama, Horror, Mystery",7.1,Nicolas Roeg,58877,$0.98M
Let Me In I,2010,116,"Drama, Fantasy, Horror",7.1,Matt Reeves,124539,$12.13M
Cube,1997,90,"Drama, Horror, Mystery",7.1,Vincenzo Natali,239015,$0.50M
The Frighteners,1996,110,"Comedy, Fantasy, Horror",7.1,Peter Jackson,91980,$16.76M
Audition,1999,115,"Drama, Horror, Mystery",7.1,Takashi Miike,84967,
In the Mouth of Madness,1994,95,"Drama, Fantasy, Horror",7.1,John Carpenter,74185,$8.95M
The Host,2006,120,"Drama, Horror, Sci-Fi",7.1,Bong Joon Ho,127160,$2.20M
The Thing from Another World,1951,87,"Horror, Sci-Fi",7.1,Christian Nyby,31634,
Day of the Dead,1985,101,"Horror, Thriller",7.1,George A. Romero,71624,$5.80M
Timecrimes,2007,92,"Horror, Mystery, Sci-Fi",7.1,Nacho Vigalondo,66167,$0.04M
Black Christmas,1974,98,"Horror, Mystery, Thriller",7.1,Bob Clark,44485,$4.05M
A Tale of Two Sisters,2003,114,"Drama, Horror, Mystery",7.1,Jee-woon Kim,65125,
Thirst,2009,134,"Drama, Fantasy, Horror",7.1,Park Chan-wook,49291,$0.30M
The Fearless Vampire Killers,1967,91,"Comedy, Horror",7.1,Roman Polanski,32778,
Pearl,2022,103,"Drama, Horror, Thriller",7.0,Ti West,60574,
Barbarian,2022,102,"Horror, Mystery, Thriller",7.0,Zach Cregger,150220,
Orphan,2009,123,"Horror, Mystery, Thriller",7.0,Jaume Collet-Serra,240096,$41.60M
Last Night in Soho,2021,116,"Drama, Horror, Mystery",7.0,Edgar Wright,151594,
The Platform,2019,94,"Horror, Sci-Fi, Thriller",7.0,Galder Gaztelu-Urrutia,246812,
Cloverfield,2008,85,"Action, Adventure, Horror",7.0,Matt Reeves,409328,$80.05M
The Cabin in the Woods,2011,95,"Horror, Mystery, Thriller",7.0,Drew Goddard,431746,$42.07M
Martyrs,2008,99,Horror,7.0,Pascal Laugier,100077,
The Killing of a Sacred Deer,2017,121,"Drama, Horror, Mystery",7.0,Yorgos Lanthimos,164977,$2.29M
World War Z,2013,116,"Action, Adventure, Horror",7.0,Marc Forster,688746,$202.36M
Constantine,2005,121,"Action, Fantasy, Horror",7.0,Francis Lawrence,359071,$75.98M
Pitch Black,2000,109,"Action, Horror, Sci-Fi",7.0,David Twohy,247313,$39.24M
Hotel Transylvania,2012,91,"Animation, Adventure, Comedy",7.0,Genndy Tartakovsky,266508,$148.31M
Hellboy II: The Golden Army,2008,120,"Action, Adventure, Fantasy",7.0,Guillermo del Toro,278818,$75.75M
Green Room,2015,95,"Crime, Drama, Horror",7.0,Jeremy Saulnier,131693,$3.22M
Fright Night,1985,106,"Fantasy, Horror",7.0,Tom Holland,74547,$24.92M
Raw,2016,99,"Drama, Horror",7.0,Julia Ducournau,83304,$0.51M
Brotherhood of the Wolf,2001,142,"Action, Adventure, Drama",7.0,Christophe Gans,68793,$11.26M
Shutter II,2004,97,"Horror, Mystery, Thriller",7.0,Banjong Pisanthanakun,47015,
Thelma,2017,116,"Drama, Fantasy, Horror",7.0,Joachim Trier,34644,$0.15M
Henry: Portrait of a Serial Killer,1986,83,"Biography, Crime, Drama",7.0,John McNaughton,38529,$0.61M
Tenebrae,1982,101,"Drama, Horror, Mystery",7.0,Dario Argento,25691,
Carnival of Souls,1962,78,"Horror, Mystery",7.0,Herk Harvey,26143,
The Mummy,1932,73,"Fantasy, Horror",7.0,Karl Freund,28354,
Doctor Strange in the Multiverse of Madness,2022,126,"Action, Adventure, Fantasy",6.9,Sam Raimi,440936,$411.33M
The Black Phone,2021,103,"Horror, Thriller",6.9,Scott Derrickson,168369,$90.12M
The VVitch: A New-England Folktale,2015,92,"Drama, Fantasy, Horror",6.9,Robert Eggers,277751,$25.14M
Climax I,2018,97,"Drama, Horror, Music",6.9,Gaspar Noé,73695,$0.80M
28 Weeks Later,2007,100,"Action, Adventure, Horror",6.9,Juan Carlos Fresnadillo,284000,$28.64M
Hocus Pocus,1993,96,"Comedy, Family, Fantasy",6.9,Kenny Ortega,145947,$44.34M
Hellraiser,1987,94,"Horror, Thriller",6.9,Clive Barker,132887,$14.56M
Near Dark,1987,94,Horror,6.9,Kathryn Bigelow,42670,$3.37M
Ravenous,1999,101,"Adventure, Drama, Horror",6.9,Antonia Bird,41616,$2.06M
Altered States,1980,102,"Horror, Sci-Fi, Thriller",6.9,Ken Russell,36892,$19.85M
Stir of Echoes,1999,99,"Horror, Mystery, Thriller",6.9,David Koepp,84251,$21.13M
Bubba Ho-Tep,2002,92,"Comedy, Fantasy, Horror",6.9,Don Coscarelli,50182,$2.00M
A Girl Walks Home Alone at Night,2014,101,"Drama, Horror, Romance",6.9,Ana Lily Amirpour,37115,
The Monster Squad,1987,79,"Action, Comedy, Fantasy",6.9,Fred Dekker,33711,$3.77M
Creature from the Black Lagoon,1954,79,"Horror, Sci-Fi",6.9,Jack Arnold,32344,$1.30M
