title,year,runtime_min,genre,imdb_rating,director,votes,Gross
Slither,2006,95,"Comedy, Horror, Sci-Fi",6.5,James Gunn,85847,$7.77M
The Blair Witch Project,1999,81,"Horror, Mystery",6.5,Daniel Myrick,271349,$140.54M
The Endless I,2017,111,"Drama, Fantasy, Horror",6.5,Justin Benson,46030,$0.27M
Oculus,2013,104,"Horror, Mystery, Thriller",6.5,Mike Flanagan,133932,$27.70M
The Howling,1981,91,Horror,6.5,Joe Dante,38157,$17.99M
Annabelle: Creation,2017,109,"Horror, Mystery, Thriller",6.5,David F. Sandberg,141513,$102.09M
Possessor,2020,103,"Horror, Mystery, Sci-Fi",6.5,Brandon Cronenberg,41017,
Crimson Peak,2015,119,"Drama, Horror, Mystery",6.5,Guillermo del Toro,153040,$31.09M
Halloween I,2018,106,"Crime, Horror, Thriller",6.5,David Gordon Green,160731,$159.34M
Pet Sematary,1989,103,"Fantasy, Horror, Thriller",6.5,Mary Lambert,109162,$57.47M
The Final Girls,2015,91,"Comedy, Fantasy, Horror",6.5,Todd Strauss-Schulson,48852,
Arachnophobia,1990,109,"Comedy, Horror, Thriller",6.5,Frank Marshall,72630,$53.21M
The Crazies,2010,101,"Horror, Thriller",6.5,Breck Eisner,125273,$39.12M
His House,2020,93,"Drama, Horror, Thriller",6.5,Remi Weekes,45081,
The Skeleton Key,2005,104,"Drama, Horror, Mystery",6.5,Iain Softley,118968,$47.81M
Better Watch Out II,2016,89,"Comedy, Horror, Thriller",6.5,Chris Peckover,42119,$0.02M
The Exorcist III,1990,110,"Drama, Horror, Mystery",6.5,William Peter Blatty,34521,$26.10M
The Witches of Eastwick,1987,118,"Comedy, Fantasy, Horror",6.5,George Miller,73547,$63.77M
Halloween II,1981,92,Horror,6.5,Rick Rosenthal,96004,$25.53M
Flatliners,1990,115,"Drama, Horror, Sci-Fi",6.5,Joel Schumacher,90146,$61.49M
Dead End I,2003,85,"Adventure, Horror, Mystery",6.5,Jean-Baptiste Andrea,30416,
Byzantium,2012,118,"Drama, Fantasy, Horror",6.5,Neil Jordan,44832,$0.08M
Time Lapse,2014,104,"Horror, Mystery, Sci-Fi",6.5,Bradley King,47416,
Bad Taste,1987,91,"Comedy, Horror, Sci-Fi",6.5,Peter Jackson,48108,
Pontypool,2008,93,"Horror, Sci-Fi",6.5,Bruce McDonald,33734,
[Rec]²,2009,85,"Horror, Thriller",6.5,Jaume Balagueró,75857,$0.03M
Sightseers,2012,88,"Adventure, Comedy, Crime",6.5,Ben Wheatley,29544,$0.04M
Renfield,2023,93,"Comedy, Fantasy, Horror",6.4,Chris McKay,47540,
M3GAN,2022,102,"Horror, Sci-Fi, Thriller",6.4,Gerard Johnstone,106598,$93.88M
Alien: Covenant,2017,122,"Horror, Sci-Fi, Thriller",6.4,Ridley Scott,290465,$74.26M
Escape Room I,2019,99,"Action, Adventure, Horror",6.4,Adam Robitel,131872,$57.01M
Friday the 13th,1980,95,"Horror, Mystery, Thriller",6.4,Sean S. Cunningham,146665,$39.75M
The Craft,1996,101,"Drama, Fantasy, Horror",6.4,Andrew Fleming,99986,$24.88M
The Hills Have Eyes,2006,107,"Horror, Thriller",6.4,Alexandre Aja,177032,$41.78M
Alien³,1992,114,"Action, Horror, Sci-Fi",6.4,David Fincher,308197,$55.47M
A Cure for Wellness,2016,146,"Drama, Fantasy, Horror",6.4,Gore Verbinski,104306,$8.11M
The Cell,2000,107,"Crime, Horror, Sci-Fi",6.4,Tarsem Singh,105734,$61.33M
Revenge II,2017,108,"Action, Drama, Horror",6.4,Coralie Fargeat,45825,$0.10M
Fright Night,2011,106,"Comedy, Horror",6.4,Craig Gillespie,109829,$18.30M
Twilight Zone: The Movie,1983,101,"Horror, Sci-Fi",6.4,Joe Dante,39519,$29.50M
Incident in a Ghostland,2018,91,"Drama, Horror, Mystery",6.4,Pascal Laugier,35958,
The Purge: Anarchy,2014,103,"Action, Horror, Sci-Fi",6.4,James DeMonaco,156986,$71.96M
Gremlins 2: The New Batch,1990,106,"Comedy, Fantasy, Horror",6.4,Joe Dante,108188,$41.48M
Black Death,2010,102,"Action, Drama, History",6.4,Christopher Smith,49744,$0.02M
The People Under the Stairs,1991,102,"Comedy, Horror, Mystery",6.4,Wes Craven,37305,$24.20M
Horns,2013,120,"Comedy, Crime, Drama",6.4,Alexandre Aja,85762,$0.16M
The Serpent and the Rainbow,1988,98,"Fantasy, Horror",6.4,Wes Craven,26707,$19.60M
Tale of Tales,2015,134,"Drama, Fantasy, Horror",6.4,Matteo Garrone,29867,$0.08M
Daybreakers,2009,98,"Action, Horror, Sci-Fi",6.4,Michael Spierig,131778,$30.10M
The Woman in Black,2012,95,"Drama, Fantasy, Horror",6.4,James Watkins,187998,$54.33M
Silver Bullet,1985,95,Horror,6.4,Daniel Attias,29605,$5.40M
Sputnik,2020,113,"Drama, Horror, Mystery",6.4,Egor Abramenko,25687,
Kill List,2011,95,"Action, Crime, Horror",6.4,Ben Wheatley,42875,$0.03M
New Nightmare,1994,112,"Fantasy, Horror, Mystery",6.4,Wes Craven,61174,$18.09M
Repo! The Genetic Opera,2008,98,"Horror, Musical, Sci-Fi",6.4,Darren Lynn Bousman,25810,$0.14M
The Mothman Prophecies,2002,119,"Drama, Horror, Mystery",6.4,Mark Pellington,82494,$35.75M
Session 9,2001,97,"Drama, Horror, Mystery",6.4,Brad Anderson,60761,$0.38M
Unsane,2018,98,"Drama, Horror, Mystery",6.4,Steven Soderbergh,48245,$7.73M
Creep 2,2017,78,"Crime, Drama, Horror",6.4,Patrick Brice,29300,
Hellbound: Hellraiser II,1988,97,"Horror, Thriller",6.4,Tony Randel,53253,$11.09M
The Awakening I,2011,102,"Drama, Horror, Mystery",6.4,Nick Murphy,67806,
Ghost Stories I,2017,98,"Drama, Horror",6.4,Jeremy Dyson,35682,$0.14M
The Prophecy,1995,98,"Action, Crime, Drama",6.4,Gregory Widen,32198,$16.12M
Severance,2006,96,"Comedy, Horror",6.4,Christopher Smith,39807,$0.14M
Them,2006,77,"Horror, Thriller",6.4,David Moreau,31377,
Stake Land,2010,98,"Drama, Horror, Sci-Fi",6.4,Jim Mickle,43421,$0.02M
Night Watch,2004,114,"Action, Fantasy, Horror",6.4,Timur Bekmambetov,54703,$1.49M
Resident Evil: Degeneration,2008,98,"Animation, Action, Horror",6.4,Makoto Kamiya,32199,
Day Watch,2006,132,"Action, Fantasy, Horror",6.4,Timur Bekmambetov,34927,$0.45M
Scream I,2022,114,"Horror, Mystery, Thriller",6.3,Matt Bettinelli-Olpin,138199,$81.64M
Under the Skin I,2013,108,"Drama, Horror, Mystery",6.3,Jonathan Glazer,149804,$2.61M
Watcher I,2022,96,"Drama, Horror, Thriller",6.3,Chloe Okuno,32756,
Scream 2,1997,120,"Horror, Mystery",6.3,Wes Craven,197955,$101.36M
The Babysitter I,2017,85,"Comedy, Horror",6.3,McG,100574,
The Ritual I,2017,94,"Horror, Mystery, Thriller",6.3,David Bruckner,108985,
Lights Out II,2016,81,"Horror, Mystery",6.3,David F. Sandberg,135897,$67.27M
The Conjuring: The Devil Made Me Do It,2021,112,"Horror, Mystery, Thriller",6.3,Michael Chaves,125072,$65.63M
Scouts Guide to the Zombie Apocalypse,2015,93,"Action, Comedy, Horror",6.3,Christopher Landon,52616,$3.64M
Freaky,2020,102,"Comedy, Horror, Thriller",6.3,Christopher Landon,65509,
Lamb,2021,106,"Drama, Fantasy, Horror",6.3,Valdimar Jóhannsson,32600,
The Shallows,2016,86,"Action, Drama, Horror",6.3,Jaume Collet-Serra,138096,$55.12M
Paranormal Activity,2007,86,"Horror, Mystery",6.3,Oren Peli,247532,$107.92M
Creep I,2014,77,"Horror, Thriller",6.3,Patrick Brice,60918,
Devil,2010,80,"Horror, Mystery, Thriller",6.3,John Erick Dowdle,151728,$33.58M
Goosebumps,2015,103,"Adventure, Comedy, Fantasy",6.3,Rob Letterman,91906,$80.08M
Cargo I,2017,105,"Drama, Horror, Sci-Fi",6.3,Ben Howling,45890,
Predator 2,1990,108,"Action, Horror, Sci-Fi",6.3,Stephen Hopkins,174998,$30.67M
The Collector I,2009,90,"Action, Horror, Thriller",6.3,Marcus Dunstan,68646,$7.71M
Haunt I,2019,92,"Horror, Thriller",6.3,Scott Beck,32410,
Hotel Transylvania 3: Summer Vacation,2018,97,"Animation, Adventure, Comedy",6.3,Genndy Tartakovsky,79162,$167.51M
#Alive,2020,98,"Action, Drama, Horror",6.3,Il Cho,43683,
Apostle,2018,130,"Drama, Fantasy, Horror",6.3,Gareth Evans,55806,
The Hills Have Eyes,1977,90,"Horror, Thriller",6.3,Wes Craven,37196,$25.00M
Lake Mungo,2008,87,"Drama, Horror, Mystery",6.3,Joel Anderson,25556,
Dark Skies,2013,97,"Horror, Sci-Fi, Thriller",6.3,Scott Stewart,77749,$17.41M
The House of the Devil,2009,95,"Horror, Mystery",6.3,Ti West,49019,$0.10M
Frankenstein,1994,123,"Drama, Horror, Romance",6.3,Kenneth Branagh,57239,$22.01M
The Voices,2014,103,"Comedy, Crime, Horror",6.3,Marjane Satrapi,59828,
Berlin Syndrome,2017,116,"Drama, Horror, Mystery",6.3,Cate Shortland,26480,$0.03M
The Uninvited,2009,87,"Drama, Fantasy, Horror",6.3,Charles Guard,82545,$28.57M
Cat's Eye,1985,94,"Comedy, Horror, Thriller",6.3,Lewis Teague,26850,$13.09M
Underworld: Awakening,2012,88,"Action, Fantasy, Horror",6.3,Måns Mårlind,157941,$62.32M
The Vanishing,1993,109,"Drama, Horror, Mystery",6.3,George Sluizer,26987,$14.54M
Mindhunters,2004,106,"Crime, Horror, Thriller",6.3,Renny Harlin,62706,$4.48M
The Bar,2017,102,"Horror, Thriller",6.3,Álex de la Iglesia,28011,
The Blob,1958,86,"Horror, Sci-Fi",6.3,Irvin S. Yeaworth Jr.,27852,
Screamers,1995,108,"Horror, Sci-Fi, Thriller",6.3,Christian Duguay,28447,$5.78M
Dead Snow,2009,91,"Comedy, Fantasy, Horror",6.3,Tommy Wirkola,68631,$0.04M
13 Sins,2014,93,"Horror, Thriller",6.3,Daniel Stamm,37811,$0.01M
Tideland,2005,120,"Drama, Fantasy, Horror",6.3,Terry Gilliam,34068,$0.07M
John Dies at the End,2012,99,"Comedy, Fantasy, Horror",6.3,Don Coscarelli,39473,$0.14M
Bodies Bodies Bodies,2022,94,"Comedy, Horror, Thriller",6.2,Halina Reijn,51654,
Scream 4,2011,111,"Comedy, Horror, Mystery",6.2,Wes Craven,162144,$38.18M
Malignant I,2021,111,"Crime, Horror, Mystery",6.2,James Wan,98740,
The Empty Man,2020,137,"Drama, Horror, Mystery",6.2,David Prior,33524,
I Spit on Your Grave,2010,108,"Horror, Thriller",6.2,Steven R. Monroe,88102,$0.09M
The Visit I,2015,94,"Horror, Mystery, Thriller",6.2,M. Night Shyamalan,142097,$65.21M
Jeepers Creepers,2001,90,"Horror, Mystery",6.2,Victor Salva,135446,$37.90M
The Thing I,2011,103,"Horror, Mystery, Sci-Fi",6.2,Matthijs van Heijningen Jr.,139897,$16.93M
Mama I,2013,100,"Fantasy, Horror, Thriller",6.2,Andy Muschietti,186159,$71.63M
"As Above, So Below",2014,93,"Horror, Mystery, Thriller",6.2,John Erick Dowdle,101124,$21.20M
Synchronic,2019,102,"Drama, Horror, Mystery",6.2,Justin Benson,35972,
Wolf Creek,2005,99,"Horror, Thriller",6.2,Greg McLean,75604,$16.19M
Dark Shadows,2012,113,"Comedy, Fantasy, Horror",6.2,Tim Burton,273371,$79.73M
Alien: Resurrection,1997,109,"Action, Horror, Sci-Fi",6.2,Jean-Pierre Jeunet,254632,$47.75M
Sleepaway Camp,1983,84,Horror,6.2,Robert Hiltzik,35167,$11.00M
1922,2017,102,"Crime, Drama, Horror",6.2,Zak Hilditch,67579,
Dracula Untold,2014,92,"Action, Drama, Fantasy",6.2,Gary Shore,201494,$56.28M
Final Destination 2,2003,90,"Horror, Thriller",6.2,David R. Ellis,174051,$46.96M
The Texas Chainsaw Massacre,2003,98,"Crime, Horror",6.2,Marcus Nispel,147172,$80.57M
Fear Street: Part One - 1994,2021,107,"Drama, Horror, Mystery",6.2,Leigh Janiak,86732,
Scary Stories to Tell in the Dark,2019,108,"Adventure, Horror, Mystery",6.2,André Øvredal,80434,$68.95M
Color Out of Space,2019,111,"Horror, Mystery, Sci-Fi",6.2,Richard Stanley,52020,
Deliver Us from Evil I,2014,118,"Action, Adventure, Crime",6.2,Scott Derrickson,81017,$30.58M
It Comes at Night,2017,91,"Drama, Horror, Mystery",6.2,Trey Edward Shults,98054,$13.99M
Verónica I,2017,105,Horror,6.2,Paco Plaza,44074,
Case 39,2009,109,"Horror, Mystery, Thriller",6.2,Christian Alvart,90324,$13.25M
Ouija: Origin of Evil,2016,99,"Drama, Horror, Mystery",6.2,Mike Flanagan,68575,$35.14M
The Toxic Avenger,1984,82,"Action, Comedy, Horror",6.2,Michael Herz,30117,
Killer Klowns from Outer Space,1988,88,"Comedy, Horror, Sci-Fi",6.2,Stephen Chiodo,41538,$15.63M
Feast,2005,95,"Action, Comedy, Horror",6.2,John Gulager,32911,$0.05M
Rogue,2007,99,"Action, Drama, Horror",6.2,Greg McLean,32128,$0.01M
Resident Evil: Extinction,2007,94,"Action, Horror, Sci-Fi",6.2,Russell Mulcahy,200494,$50.65M
Idle Hands,1999,92,"Comedy, Fantasy, Horror",6.2,Rodman Flender,45083,$4.00M
The Perfection,2018,90,"Drama, Horror, Music",6.2,Richard Shepard,46777,
Saw III,2006,108,"Horror, Mystery, Thriller",6.2,Darren Lynn Bousman,199970,$80.24M
American Mary,2012,103,"Drama, Horror",6.2,Jen Soska,26866,
Before I Wake,2016,97,"Drama, Fantasy, Horror",6.2,Mike Flanagan,49193,
Vacancy,2007,85,"Horror, Thriller",6.2,Nimród Antal,104096,$19.36M
Wolf,1994,125,"Drama, Horror, Romance",6.2,Mike Nichols,58267,$65.01M
Land of the Dead,2005,93,"Horror, Sci-Fi, Thriller",6.2,George A. Romero,98740,$20.70M
Frontier(s),2007,108,Horror,6.2,Xavier Gens,27825,
Stigmata,1999,103,"Horror, Mystery",6.2,Rupert Wainwright,70383,$50.05M
Happy Death Day 2U,2019,100,"Comedy, Horror, Mystery",6.2,Christopher Landon,79669,$28.15M
Damien: Omen II,1978,107,Horror,6.2,Don Taylor,33729,$3.88M
Pumpkinhead,1988,86,"Fantasy, Horror",6.2,Stan Winston,25833,$4.39M
Krampus I,2015,98,"Comedy, Drama, Fantasy",6.2,Michael Dougherty,79013,$42.59M
Needful Things,1993,120,"Crime, Drama, Fantasy",6.2,Fraser C. Heston,26291,$15.19M
Open Grave,2013,102,"Horror, Mystery, Sci-Fi",6.2,Gonzalo López-Gallego,30633,
The Pope's Exorcist,2023,103,"Horror, Thriller",6.1,Julius Avery,39847,
Knock at the Cabin,2023,100,"Horror, Mystery, Thriller",6.1,M. Night Shyamalan,79345,
Terrifier 2,2022,138,Horror,6.1,Damien Leone,36262,
Infinity Pool,2023,117,"Crime, Horror, Mystery",6.1,Brandon Cronenberg,31699,
Men,2022,100,"Drama, Fantasy, Horror",6.1,Alex Garland,51808,
We Have a Ghost,2023,126,"Adventure, Comedy, Family",6.1,Christopher Landon,26782,
Wrong Turn I,2003,84,"Horror, Thriller",6.1,Rob Schmidt,125830,$15.42M
Lifeforce,1985,101,"Action, Horror, Mystery",6.1,Tobe Hooper,27500,$11.60M
The Neon Demon,2016,117,"Horror, Thriller",6.1,Nicolas Winding Refn,99889,$1.33M
Brightburn,2019,90,"Drama, Horror, Mystery",6.1,David Yarovesky,102749,$17.30M
The Strangers,2008,86,"Horror, Mystery, Thriller",6.1,Bryan Bertino,136286,$52.60M
Day Shift,2022,113,"Action, Comedy, Fantasy",6.1,J.J. Perry,83554,
Insidious: Chapter 3,2015,97,"Horror, Mystery, Thriller",6.1,Leigh Whannell,109420,$52.22M
Friday the 13th Part 2,1981,87,"Horror, Mystery, Thriller",6.1,Steve Miner,72452,$21.72M
Crawl I,2019,87,"Action, Adventure, Horror",6.1,Alexandre Aja,88669,$39.01M
Hansel & Gretel: Witch Hunters,2013,88,"Action, Fantasy, Horror",6.1,Tommy Wirkola,211488,$55.70M
Blood Red Sky,2021,121,"Action, Adventure, Drama",6.1,Peter Thorwarth,51766,
Resident Evil: Apocalypse,2004,94,"Action, Horror, Sci-Fi",6.1,Alexander Witt,204741,$51.20M
Maniac,2012,89,"Horror, Thriller",6.1,Franck Khalfoun,39045,$0.02M
The Oxford Murders,2008,108,"Crime, Horror, Mystery",6.1,Álex de la Iglesia,29932,$0.00M
The Belko Experiment,2016,89,"Horror, Thriller",6.1,Greg McLean,54266,$10.16M
Dead Silence,2007,89,"Horror, Mystery, Thriller",6.1,James Wan,98073,$16.81M
Mirrors I,2008,110,"Horror, Mystery",6.1,Alexandre Aja,110546,$30.69M
The Amityville Horror,1979,117,Horror,6.1,Stuart Rosenberg,41808,$86.43M
Critters,1986,86,"Comedy, Horror, Sci-Fi",6.1,Stephen Herek,37388,$13.17M
Deep Rising,1998,106,"Action, Adventure, Horror",6.1,Stephen Sommers,39064,$11.20M
Grave Encounters,2011,92,"Horror, Mystery",6.1,Colin Minihan,60845,
Vampires,1998,108,"Action, Horror, Thriller",6.1,John Carpenter,61502,$20.24M
House,1985,93,"Comedy, Fantasy, Horror",6.1,Steve Miner,28520,$19.44M
Cujo,1983,93,"Horror, Thriller",6.1,Lewis Teague,48166,$21.20M
The Collection II,2012,82,"Action, Adventure, Horror",6.1,Marcus Dunstan,51960,$12.84M
Red State,2011,88,"Action, Crime, Horror",6.1,Kevin Smith,65843,$1.10M
Splinter I,2008,82,"Crime, Horror, Sci-Fi",6.1,Toby Wilkins,39450,
Bug,2006,102,"Drama, Horror, Thriller",6.1,William Friedkin,36331,$7.01M
Solomon Kane,2009,104,"Action, Adventure, Fantasy",6.1,M.J. Bassett,74932,
Hobo with a Shotgun,2011,86,"Action, Comedy, Horror",6.1,Jason Eisener,47548,$0.70M
Hellraiser,2022,121,"Horror, Mystery, Thriller",6.0,David Bruckner,42407,
Don't Breathe 2,2021,98,"Action, Crime, Horror",6.0,Rodo Sayagues,63822,$32.64M
The Woman I,2011,101,"Drama, Horror, Thriller",6.0,Lucky McKee,25113,
Mr. Harrigan's Phone,2022,104,"Drama, Horror, Mystery",6.0,John Lee Hancock,34530,
The Lodge,2019,108,"Drama, Horror, Mystery",6.0,Severin Fiala,51924,
Hotel Transylvania: Transformania,2022,87,"Animation, Adventure, Comedy",6.0,Derek Drymon,34432,
6 Souls,2010,112,"Horror, Thriller",6.0,Måns Mårlind,35364,
House of 1000 Corpses,2003,89,Horror,6.0,Rob Zombie,89420,$12.63M
Halloween,2007,109,Horror,6.0,Rob Zombie,125977,$58.27M
The Taking of Deborah Logan,2014,90,"Horror, Mystery, Thriller",6.0,Adam Robitel,35691,
The Boy,2016,97,"Horror, Mystery, Thriller",6.0,William Brent Bell,97224,$35.82M
Friday the 13th: The Final Chapter,1984,91,"Horror, Thriller",6.0,Joseph Zito,55244,$32.98M
The Midnight Meat Train,2008,100,"Horror, Mystery, Thriller",6.0,Ryûhei Kitamura,67602,$0.08M
The Purge: Election Year,2016,108,"Action, Horror, Sci-Fi",6.0,James DeMonaco,105370,$79.21M
Circle II,2015,87,"Drama, Horror, Mystery",6.0,Aaron Hann,61323,
Unfriended: Dark Web,2018,92,"Horror, Mystery, Thriller",6.0,Stephen Susco,35242,$8.78M
Mimic,1997,105,"Horror, Sci-Fi",6.0,Guillermo del Toro,53560,$25.48M
Friday the 13th Part VI: Jason Lives,1986,86,"Horror, Thriller",6.0,Tom McLoughlin,47804,$19.47M
Captive State,2019,109,"Action, Horror, Sci-Fi",6.0,Rupert Wyatt,55880,$5.96M
Saw VI,2009,90,"Horror, Mystery, Thriller",6.0,Kevin Greutert,116425,$27.69M
Creepshow 2,1987,92,"Fantasy, Horror",6.0,Michael Gornick,27039,$14.00M
The Rite,2011,114,"Drama, Horror, Mystery",6.0,Mikael Håfström,100541,$33.05M
Firestarter,1984,114,"Action, Horror, Sci-Fi",6.0,Mark L. Lester,35640,$15.10M
V/H/S/2,2013,96,"Horror, Sci-Fi",6.0,Simon Barrett,41967,$0.02M
Relic,2020,89,"Drama, Horror, Mystery",6.0,Natalie Erika James,28230,
Crimes of the Future,2022,107,"Drama, Horror, Sci-Fi",5.9,David Cronenberg,35488,
Orphan: First Kill,2022,99,"Crime, Drama, Horror",5.9,William Brent Bell,40062,
Hostel,2005,94,Horror,5.9,Eli Roth,185172,$47.33M
Underwater,2020,95,"Action, Horror, Sci-Fi",5.9,William Eubank,88253,$17.29M
Vivarium,2019,97,"Horror, Mystery, Sci-Fi",5.9,Lorcan Finnegan,64794,
Abraham Lincoln: Vampire Hunter,2012,105,"Action, Fantasy, Horror",5.9,Timur Bekmambetov,158657,$37.52M
Candyman,2021,91,"Horror, Thriller",5.9,Nia DaCosta,70762,$61.19M
The Last House on the Left,1972,84,"Crime, Horror, Thriller",5.9,Wes Craven,38780,$3.10M
The Amityville Horror,2005,90,Horror,5.9,Andrew Douglas,114596,$65.23M
Annabelle Comes Home,2019,106,"Horror, Mystery, Thriller",5.9,Gary Dauberman,80369,$74.15M
Final Destination 5,2011,92,"Horror, Thriller",5.9,Steven Quale,120525,$42.59M
The Grudge,2004,91,"Horror, Mystery, Thriller",5.9,Takashi Shimizu,147865,$110.36M
Antlers,2021,99,"Drama, Horror, Mystery",5.9,Scott Cooper,41508,
The Void I,2016,90,"Horror, Mystery, Sci-Fi",5.9,Jeremy Gillespie,39049,$0.15M
King Kong,1976,134,"Adventure, Horror",5.9,John Guillermin,34098,$52.61M
The Fourth Kind,2009,98,"Horror, Mystery, Sci-Fi",5.9,Olatunde Osunsanmi,79762,$25.46M
The Brothers Grimm,2005,118,"Action, Adventure, Comedy",5.9,Terry Gilliam,123953,$37.92M
Hide and Seek,2005,101,"Horror, Mystery",5.9,John Polson,87067,$51.10M
The Possession I,2012,92,"Horror, Mystery, Thriller",5.9,Ole Bornedal,61689,$49.13M
The Ruins,2008,90,"Adventure, Horror, Thriller",5.9,Carter Smith,77800,$17.43M
Cam,2018,94,"Drama, Horror, Mystery",5.9,Daniel Goldhaber,34079,
Saw IV,2007,93,"Horror, Mystery, Thriller",5.9,Darren Lynn Bousman,155334,$63.30M
Child's Play 2,1990,84,"Horror, Thriller",5.9,John Lafia,54569,$28.50M
Victor Frankenstein,2015,110,"Drama, Horror, Sci-Fi",5.9,Paul McGuigan,58423,$5.78M
The X Files: I Want to Believe,2008,104,"Crime, Drama, Horror",5.9,Chris Carter,92694,$20.98M
The Tall Man,2012,106,"Crime, Drama, Horror",5.9,Pascal Laugier,42238,
Quarantine,2008,89,"Horror, Sci-Fi, Thriller",5.9,John Erick Dowdle,75253,$31.69M
P2,2007,98,"Crime, Horror, Thriller",5.9,Franck Khalfoun,35242,$3.99M
Pathology,2008,95,"Crime, Horror, Thriller",5.9,Marc Schölermann,32857,$0.11M
The Prodigy,2019,92,"Fantasy, Horror, Mystery",5.9,Nicholas McCarthy,27470,$14.86M
Old,2021,108,"Drama, Horror, Mystery",5.8,M. Night Shyamalan,138969,$48.28M
End of Days,1999,122,"Action, Fantasy, Horror",5.8,Peter Hyams,113770,$66.89M
Army of the Dead,2021,148,"Action, Crime, Drama",5.8,Zack Snyder,178772,$1.00M
Cannibal Holocaust,1980,95,"Adventure, Horror",5.8,Ruggero Deodato,58322,
I Know What You Did Last Summer,1997,101,"Horror, Mystery",5.8,Jim Gillespie,152273,$72.59M
Species,1995,108,"Action, Horror, Sci-Fi",5.8,Roger Donaldson,82499,$60.07M
Carrie,2013,100,"Drama, Horror, Thriller",5.8,Kimberly Peirce,144154,$35.27M
Splice,2009,104,"Horror, Sci-Fi",5.8,Vincenzo Natali,99872,$17.00M
Final Destination 3,2006,93,"Horror, Thriller",5.8,James Wong,147716,$54.10M
High Life,2018,113,"Adventure, Drama, Horror",5.8,Claire Denis,38180,$1.23M
The Babysitter: Killer Queen,2020,101,"Comedy, Horror",5.8,McG,46011,
Hollow Man,2000,112,"Action, Horror, Sci-Fi",5.8,Paul Verhoeven,134598,$73.21M
Jaws 2,1978,116,"Adventure, Horror, Thriller",5.8,Jeannot Szwarc,80981,$102.92M
Blade: Trinity,2004,113,"Action, Horror, Sci-Fi",5.8,David S. Goyer,182834,$52.41M
The Mortal Instruments: City of Bones,2013,130,"Action, Adventure, Fantasy",5.8,Harald Zwart,136448,$31.17M
Pride and Prejudice and Zombies,2016,108,"Action, Comedy, Fantasy",5.8,Burr Steers,58473,$10.91M
Antebellum,2020,105,"Drama, Horror, Mystery",5.8,Gerard Bush,28559,
Lake Placid,1999,82,"Action, Comedy, Horror",5.8,Steve Miner,63404,$31.77M
The Wolfman,2010,103,"Drama, Fantasy, Horror",5.8,Joe Johnston,108821,$61.98M
The Texas Chainsaw Massacre: The Beginning,2006,91,"Horror, Thriller",5.8,Jonathan Liebesman,75052,$39.52M
The Addams Family,2019,86,"Animation, Comedy, Family",5.8,Greg Tiernan,42739,$100.04M
The Divide,2011,112,"Drama, Horror, Sci-Fi",5.8,Xavier Gens,37690,$0.02M
Eli I,2019,98,"Drama, Horror, Mystery",5.8,Ciarán Foy,38505,
V/H/S,2012,116,Horror,5.8,Matt Bettinelli-Olpin,65385,$0.10M
Morgan,2016,92,"Action, Horror, Sci-Fi",5.8,Luke Scott,44898,$3.91M
Thinner,1996,93,"Fantasy, Horror",5.8,Tom Holland,32352,$15.17M
The Haunting in Connecticut,2009,92,"Drama, Horror, Mystery",5.8,Peter Cornwell,63528,$55.39M
Resident Evil: Afterlife,2010,96,"Action, Horror, Sci-Fi",5.8,Paul W.S. Anderson,175349,$60.13M
Gothika,2003,98,"Horror, Mystery, Thriller",5.8,Mathieu Kassovitz,116092,$59.69M
The Relic,1997,110,"Horror, Mystery, Sci-Fi",5.8,Peter Hyams,29056,$33.96M
Dracula: Dead and Loving It,1995,88,"Comedy, Fantasy, Horror",5.8,Mel Brooks,43600,$10.77M
Open Water,2003,79,"Adventure, Drama, Horror",5.8,Chris Kentis,55121,$30.61M
Halloween H20: 20 Years Later,1998,86,"Horror, Thriller",5.8,Steve Miner,78797,$55.04M
Halloween 4: The Return of Michael Myers,1988,88,"Horror, Thriller",5.8,Dwight H. Little,55673,$17.77M
Saw V,2008,92,"Horror, Thriller",5.8,David Hackl,128997,$56.75M
Black Sheep,2006,87,"Comedy, Horror, Sci-Fi",5.8,Jonathan King,41390,$0.08M
Paranormal Activity 3,2011,83,"Horror, Mystery",5.8,Henry Joost,97454,$104.01M
Cry Wolf,2005,90,"Drama, Horror, Mystery",5.8,Jeff Wadlow,27993,$10.05M
White Noise I,2022,136,"Comedy, Drama, Horror",5.7,Noah Baumbach,39252,
The Purge I,2013,85,"Horror, Sci-Fi, Thriller",5.7,James DeMonaco,231096,$64.47M
Escape Room: Tournament of Champions,2021,88,"Action, Adventure, Horror",5.7,Adam Robitel,52337,$25.19M
Insidious: The Last Key,2018,103,"Horror, Mystery, Thriller",5.7,Adam Robitel,64055,$67.75M
Buffy the Vampire Slayer,1992,86,"Action, Comedy, Fantasy",5.7,Fran Rubel Kuzui,47048,$16.62M
Underworld: Blood Wars,2016,91,"Action, Adventure, Fantasy",5.7,Anna Foerster,78499,$30.35M
The Rental,2020,88,"Drama, Horror, Mystery",5.7,Dave Franco,35194,
Jigsaw I,2017,92,"Horror, Mystery, Thriller",5.7,Michael Spierig,83738,$38.05M
Freddy vs. Jason,2003,97,"Action, Horror",5.7,Ronny Yu,123003,$82.62M
Cooties,2014,88,"Action, Comedy, Horror",5.7,Jonathan Milott,27279,$0.06M
I Spit on Your Grave 2,2013,106,"Horror, Thriller",5.7,Steven R. Monroe,31209,$0.00M
